IP-Port,Domain_Name
10.151.0.16:80,replicon-server
10.151.0.29:80,crm_altametrics_com
10.151.0.38:80,office_altametrics_com
10.151.0.25:80,wiki_altametrics_com
10.151.0.25:80,learn_altametrics_com
10.151.0.17:80,projects_altametrics_com
10.151.0.50:80,projects_altametrics_com
10.151.0.12:8025,mhg_altametrics_com
10.151.0.28:80,761_altametrics_com
10.151.0.73:8080,auth_altametrics_com
10.151.0.18:443,go_altametrics_com
10.151.0.28:80,ljstracker_altametrics_com
10.151.0.14:80,g4_altametrics_com
10.151.0.66:443,g1_altametrics_com
10.151.0.67:443,g2_altametrics_com
10.151.0.31:80,webinar_altametrics_com
10.151.0.25:443,events_altametrics_com
10.151.0.69:443,g8_altametrics_com
10.151.0.28:443,kb_altametrics_com
10.151.0.32:8070,intg_altametrics_com
10.120.11.247:14318,traceui_altametrics_com
10.151.0.18:443,go_hubworks_com
10.151.0.30:80,crm_hubworks_com
10.151.0.31:80,webinar_hubworks_com
10.151.0.25:443,events_hubworks_com
10.151.0.18:8080,hmautic_hubworks_com
10.151.0.27:80,g0_hubworks_com
10.151.0.15:443,g1_hubworks_com
10.151.0.18:8080,go_hubworks_com_8443
10.151.0.65:443,s4_hubworks_com
10.151.0.25:443,events_plumpos_com
10.151.0.25:80,webinar_plumpos_com
10.120.11.102:80,commandcenter_posiq_net
10.151.0.16:80,replicon-server
10.151.0.29:80,crm_altametrics_com
10.151.0.38:80,office_altametrics_com
10.151.0.25:80,wiki_altametrics_com
10.151.0.25:80,learn_altametrics_com
10.151.0.25:80,phpagebuilder_altametrics_com
10.151.0.17:80,projects_altametrics_com
10.151.0.50:80,projects_altametrics_com
10.151.0.12:8025,mhg_altametrics_com
10.151.0.28:80,761_altametrics_com
10.151.0.18:443,go_altametrics_com
10.110.10.226:443,gw1_altametrics_com
10.151.0.28:80,ljstracker_altametrics_com
10.151.0.73:8080,auth_altametrics_com
10.151.0.13:80,amgto_altametrics_com
10.120.11.247:14317,trace_altametrics_com
10.120.11.247:14318,traceui_altametrics_com
10.220.10.209:8070,adapp09b_altametrics_com
10.151.0.18:443,go_hubworks_com
10.151.0.30:80,crm_hubworks_com
10.151.0.31:80,webinar_hubworks_com
10.151.0.25:443,events_hubworks_com
10.151.0.25:80,events_hubworks_com
10.151.0.18:8080,hmautic_hubworks_com
10.151.0.27:80,g0_hubworks_com
10.151.0.15:443,g1_hubworks_com
10.151.0.18:8080,go_hubworks_com__8443
10.151.0.65:443,s4_hubworks_com
10.120.11.102:80,commandcenter_posiq_net
10.151.0.25:443,events_plumpos_com
10.151.0.25:80,webinar_plumpos_com
